"Author","Years Published"
"Cong Tian","No Consecutive Publishing"
"Annika Wagner","No Consecutive Publishing"
"Loïc Besnard","No Consecutive Publishing"
"Raymond Berg","No Consecutive Publishing"
"Peter Bubenik","No Consecutive Publishing"
"Günter Schäfer","No Consecutive Publishing"
"Marcelo P. Fiore","No Consecutive Publishing"
"Agustin Riscos-Núñez","No Consecutive Publishing"
"Peter Y. A. Ryan","No Consecutive Publishing"
"Roberto Souto Maior de Barros","No Consecutive Publishing"
"Essi Lahtinen","No Consecutive Publishing"
"Marino Miculan","No Consecutive Publishing"
"Luís M. B. Lopes","No Consecutive Publishing"
"Shahid Jabbar","No Consecutive Publishing"
"Sebastian Fischer","No Consecutive Publishing"
"Simon N. Foley","No Consecutive Publishing"
"Klaus Schneider 0001","No Consecutive Publishing"
"Dragos Sburlan","No Consecutive Publishing"
"Steven P. Reiss","No Consecutive Publishing"
"Alessandro Aldini","No Consecutive Publishing"
"Howard Bowman","No Consecutive Publishing"
"Huaikou Miao","No Consecutive Publishing"
"Stephan Kepser","No Consecutive Publishing"
"David Hemer","No Consecutive Publishing"
"Tom Mens","No Consecutive Publishing"
"Carolyn L. Talcott","No Consecutive Publishing"
"Mohamed Benmohamed","No Consecutive Publishing"
"Valentín Valero Ruiz","No Consecutive Publishing"
"Tommi Mikkonen","No Consecutive Publishing"
"Paulien de Wind","No Consecutive Publishing"
"Christian Herde","No Consecutive Publishing"
"Liancheng Liu","No Consecutive Publishing"
"Anthony M. Sloane","No Consecutive Publishing"
"Ying Hu","No Consecutive Publishing"
"Tommaso Bolognesi","No Consecutive Publishing"
"Fabio Massacci","No Consecutive Publishing"
"Tarmo Uustalu","No Consecutive Publishing"
"Blas C. Ruiz","No Consecutive Publishing"
"Hongyang Qu 0001","No Consecutive Publishing"
"Alexander Moshe Rabinovich","No Consecutive Publishing"
"Ulrich Ultes-Nitsche","No Consecutive Publishing"
"Martin Giese","No Consecutive Publishing"
"John Derrick","No Consecutive Publishing"
"Armin Biere","No Consecutive Publishing"
"Dilian Gurov","No Consecutive Publishing"
"Angelo Troina","No Consecutive Publishing"
